feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
"Migraine, unspecified, intractable, without status migrainosus",0.924,0.039,21.824,0.961,0.9997897233201581
Diffuse cystic mastopathy of left breast,0.922,0.035,23.927,0.961,0.9997897233201581
"Other adverse food reactions, not elsewhere classified",0.918,0.03,27.846,0.961,0.9997897233201581
"Pre-existing essential hypertension complicating pregnancy, third trimester",0.887,0.007,117.476,0.962,0.9997897233201581
Adjustment disorder with mixed disturbance of emotions and conduct,1.064,0.074,15.335,0.963,0.9997897233201581
"Puncture wound without foreign body of other specified part of neck, initial encounter",1.049,0.134,8.211,0.963,0.9997897233201581
Intestinal infection due to campylobacter,0.954,0.134,6.776,0.963,0.9997897233201581
Unspecified abnormal finding in cerebrospinal fluid,0.93,0.046,18.986,0.963,0.9997897233201581
Symptomatic menopausal or female climacteric states,0.929,0.04,21.553,0.963,0.9997897233201581
Hyperemesis gravidarum with metabolic disturbance,0.917,0.024,35.658,0.963,0.9997897233201581
"Nondisplaced fracture of navicular [scaphoid] of left foot, initial encounter for closed fracture",0.917,0.023,35.85,0.963,0.9997897233201581
"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester",0.888,0.006,128.626,0.963,0.9997897233201581
"Laceration without foreign body of other part of head, initial encounter",0.992,0.692,1.42,0.964,0.9997897233201581
"Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",0.991,0.674,1.458,0.964,0.9997897233201581
Xerosis cutis,0.948,0.09,9.946,0.964,0.9997897233201581
Postprocedural seroma of a musculoskeletal structure following a musculoskeletal system procedure,0.931,0.043,20.402,0.964,0.9997897233201581
Kidney donors,0.93,0.039,22.408,0.964,0.9997897233201581
"Enteropathic arthropathies, left hip",0.915,0.019,44.899,0.964,0.9997897233201581
"Other specified infectious and parasitic diseases of mother, antepartum condition or complication",0.905,0.013,64.158,0.964,0.9997897233201581
Endometriosis of other specified sites,0.903,0.011,77.521,0.964,0.9997897233201581
Calculus of bile duct with acute cholecystitis without obstruction,0.972,0.277,3.411,0.965,0.9997897233201581
"Accidents caused by knives, swords, and daggers",0.943,0.068,13.065,0.965,0.9997897233201581
"Undersocialized conduct disorder, aggressive type, unspecified",0.932,0.042,20.823,0.965,0.9997897233201581
Premenopausal menorrhagia,0.925,0.028,30.569,0.965,0.9997897233201581
"Partial traumatic metacarpophalangeal amputation of left thumb, initial encounter",0.921,0.025,34.476,0.965,0.9997897233201581
"Delayed and secondary postpartum hemorrhage, postpartum condition or complication",0.919,0.022,38.217,0.965,0.9997897233201581
Acute parametritis and pelvic cellulitis,0.958,0.136,6.768,0.966,0.9997897233201581
"Driver of other special all-terrain or other off-road motor vehicle injured in nontraffic accident, initial encounter",0.938,0.048,18.368,0.966,0.9997897233201581
Other complications of gastric band procedure,0.933,0.039,22.217,0.966,0.9997897233201581
Other specified retained foreign body fragments,0.926,0.025,33.793,0.966,0.9997897233201581
"Maternal care for other known or suspected poor fetal growth, second trimester, fetus 1",0.896,0.006,131.603,0.966,0.9997897233201581
Single stillbirth,0.85,0.0,1526.513,0.966,0.9997897233201581
"Pregnancy related renal disease, first trimester",0.822,0.0,6846.295,0.966,0.9997897233201581
Acute gouty arthropathy,1.008,0.693,1.467,0.967,0.9997897233201581
"Fall on and from ladder, subsequent encounter",0.986,0.501,1.94,0.967,0.9997897233201581
"Infection and inflammatory reaction due to peritoneal dialysis catheter, initial encounter",0.972,0.247,3.828,0.967,0.9997897233201581
"Dystonia, unspecified",0.924,0.021,39.86,0.967,0.9997897233201581
"Other premature separation of placenta, third trimester",0.873,0.001,523.445,0.967,0.9997897233201581
History of emotional abuse,1.096,0.013,89.934,0.968,0.9997897233201581
"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.994,0.722,1.368,0.969,0.9997897233201581
Mucous polyp of cervix,0.935,0.032,27.021,0.969,0.9997897233201581
Other specified genital prolapse,0.926,0.018,47.874,0.969,0.9997897233201581
"Other complications of the puerperium, not elsewhere classified",0.918,0.012,68.867,0.969,0.9997897233201581
"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified",0.903,0.006,146.625,0.969,0.9997897233201581
"Maternal care for benign tumor of corpus uteri, first trimester",0.894,0.003,284.916,0.969,0.9997897233201581
"Unspecified Zone I fracture of sacrum, initial encounter for closed fracture",0.989,0.563,1.74,0.97,0.9997897233201581
Presence of artificial eye,0.971,0.209,4.51,0.97,0.9997897233201581
Pilonidal sinus without abscess,0.958,0.105,8.72,0.97,0.9997897233201581
Other specified adjustment reactions,0.939,0.035,24.955,0.97,0.9997897233201581
"Unspecified renal disease in pregnancy, without mention of hypertension, antepartum condition or complication",0.905,0.005,173.654,0.97,0.9997897233201581
Obstructed labor due to other maternal pelvic abnormalities,0.837,0.0,9986.713,0.97,0.9997897233201581
Closed fracture of six ribs,1.022,0.309,3.383,0.971,0.9997897233201581
"Other peripheral vertigo, right ear",0.979,0.314,3.047,0.971,0.9997897233201581
"Sedative, hypnotic or anxiolytic dependence, continuous",0.958,0.095,9.616,0.971,0.9997897233201581
"Cervical incompetence, antepartum condition or complication",0.932,0.021,40.709,0.971,0.9997897233201581
"Contact with scissors, initial encounter",0.932,0.021,41.272,0.971,0.9997897233201581
"Displaced fracture of intermediate cuneiform of left foot, initial encounter for closed fracture",0.913,0.007,127.668,0.971,0.9997897233201581
"Other early complications of trauma, sequela",0.959,0.091,10.114,0.972,0.9997897233201581
Urethral diverticulum,0.939,0.027,32.514,0.972,0.9997897233201581
"Severe pre-eclampsia, complicating the puerperium",0.936,0.022,39.609,0.972,0.9997897233201581
"Delayed and secondary postpartum hemorrhage, delivered, with mention of postpartum complication",0.922,0.01,82.451,0.972,0.9997897233201581
"Oligohydramnios, first trimester, not applicable or unspecified",0.905,0.003,260.575,0.972,0.9997897233201581
"Laceration of blood vessel of right little finger, initial encounter",0.925,0.011,79.43,0.973,0.9997897233201581
Nonpyogenic meningitis,1.028,0.202,5.223,0.974,0.9997897233201581
"Contusion of left shoulder, initial encounter",1.02,0.318,3.267,0.974,0.9997897233201581
"Diabetes with unspecified complication, type II or unspecified type, uncontrolled",1.013,0.47,2.18,0.974,0.9997897233201581
"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior",0.938,0.02,44.135,0.974,0.9997897233201581
"Infection following a procedure, deep incisional surgical site, initial encounter",0.937,0.018,48.656,0.974,0.9997897233201581
"Puerperal endometritis, postpartum condition or complication",0.934,0.016,55.588,0.974,0.9997897233201581
"Other viral diseases in the mother, antepartum condition or complication",0.931,0.012,71.37,0.974,0.9997897233201581
Other gender identity disorders,0.941,0.022,40.078,0.975,0.9997897233201581
"Other specified injury of radial artery at forearm level, right arm, initial encounter",0.939,0.018,48.407,0.975,0.9997897233201581
Other personality disorders,0.936,0.016,55.004,0.975,0.9997897233201581
Personal history of thrombophlebitis,1.027,0.184,5.747,0.976,0.9997897233201581
"Puncture wound with foreign body of right forearm, initial encounter",0.964,0.083,11.204,0.976,0.9997897233201581
Presence of intrauterine contraceptive device,0.946,0.025,36.406,0.976,0.9997897233201581
"Other infective spondylopathies, cervical region",0.935,0.013,66.549,0.976,0.9997897233201581
"Puerperal endometritis, delivered, with mention of postpartum complication",0.932,0.009,93.869,0.976,0.9997897233201581
Poisoning-antidepressant,1.043,0.06,18.187,0.977,0.9997897233201581
"Nonpurulent mastitis associated with childbirth, postpartum condition or complication",0.946,0.021,42.061,0.977,0.9997897233201581
Dependent personality disorder,0.94,0.013,70.139,0.977,0.9997897233201581
"Maternal care for other specified fetal problems, second trimester, not applicable or unspecified",0.905,0.001,778.462,0.977,0.9997897233201581
"Intrauterine death, affecting management of mother, delivered, with or without mention of antepartum condition",0.875,0.0,7407.64,0.977,0.9997897233201581
Hereditary motor and sensory neuropathy,1.03,0.133,7.95,0.978,0.9997897233201581
Deformity of reconstructed breast,0.947,0.019,46.95,0.978,0.9997897233201581
Schizotypal disorder,0.943,0.014,64.545,0.978,0.9997897233201581
"Premature separation of placenta, antepartum condition or complication",0.938,0.011,78.84,0.978,0.9997897233201581
"Maternal care for other rhesus isoimmunization, second trimester, fetus 2",0.914,0.001,637.656,0.978,0.9997897233201581
Methicillin susceptible Staphylococcus aureus septicemia,0.995,0.669,1.479,0.979,0.9997897233201581
"Other complications of obstetrical surgical wounds, postpartum condition or complication",0.948,0.017,53.138,0.979,0.9997897233201581
"Lesion of femoral nerve, right lower limb",0.937,0.007,134.512,0.979,0.9997897233201581
Encounter for insertion of intrauterine contraceptive device,0.935,0.007,131.534,0.979,0.9997897233201581
"Obstructed labor due to breech presentation, not applicable or unspecified",0.919,0.002,423.206,0.979,0.9997897233201581
"Poisoning by alpha-adrenoreceptor antagonists, accidental (unintentional), initial encounter",0.98,0.196,4.895,0.98,0.9997897233201581
Herpes zoster with other ophthalmic complications,0.976,0.144,6.629,0.98,0.9997897233201581
Other pain disorders related to psychological factors,0.95,0.018,51.185,0.98,0.9997897233201581
"Laceration of extensor muscle, fascia and tendon of right index finger at forearm level, initial encounter",0.947,0.013,67.38,0.98,0.9997897233201581
Hirsutism,0.944,0.011,84.846,0.98,0.9997897233201581
Suicide and self-inflicted injury by other specified means,0.938,0.006,148.313,0.98,0.9997897233201581
"Maternal care for breech presentation, fetus 3",0.933,0.004,225.751,0.98,0.9997897233201581
Eosinophilic gastritis or gastroenteritis,1.045,0.029,37.936,0.981,0.9997897233201581
Encounter for aftercare following heart transplant,0.967,0.064,14.628,0.981,0.9997897233201581
"Neurofibromatosis, type 1",0.958,0.027,33.446,0.981,0.9997897233201581
Ptosis of breast,0.951,0.015,60.136,0.981,0.9997897233201581
Glycosuria,0.951,0.015,59.931,0.981,0.9997897233201581
Family disruption due to divorce or legal separation,0.951,0.015,60.305,0.981,0.9997897233201581
Polyphagia,0.95,0.013,69.478,0.981,0.9997897233201581
Endometrial intraepithelial neoplasia [EIN],0.949,0.012,73.748,0.981,0.9997897233201581
"Supervision of pregnancy resulting from assisted reproductive technology, second trimester",0.935,0.004,223.919,0.981,0.9997897233201581
"Unspecified pre-existing diabetes mellitus in pregnancy, third trimester",0.932,0.003,291.662,0.981,0.9997897233201581
Anemia complicating the puerperium,0.922,0.001,651.19,0.981,0.9997897233201581
"HELLP syndrome (HELLP), second trimester",0.921,0.001,660.893,0.981,0.9997897233201581
Other maternal infectious and parasitic diseases complicating childbirth,0.899,0.0,4995.606,0.981,0.9997897233201581
"Other urethral bulbous stricture, male",1.017,0.236,4.379,0.982,0.9997897233201581
Portal vein thrombosis,1.003,0.765,1.315,0.982,0.9997897233201581
Prolymphocytic leukemia of T-cell type not having achieved remission,0.981,0.176,5.455,0.982,0.9997897233201581
"Lymphangioma, any site",0.978,0.149,6.422,0.982,0.9997897233201581
"Open wound of hand except finger(s) alone, with tendon involvement",0.949,0.01,89.487,0.982,0.9997897233201581
Unspecified psychophysiological malfunction,0.947,0.009,101.034,0.982,0.9997897233201581
"Major depressive disorder, single episode, moderate",0.942,0.005,165.362,0.982,0.9997897233201581
"Irregular menstruation, unspecified",0.954,0.011,79.273,0.983,0.9997897233201581
Excessive and frequent menstruation with irregular cycle,0.945,0.006,147.567,0.983,0.9997897233201581
"Labor and delivery complicated by cord around neck, with compression, fetus 2",0.924,0.001,1157.088,0.983,0.9997897233201581
Uncongenial work environment,1.023,0.111,9.423,0.984,0.9997897233201581
"Unspecified antepartum hemorrhage, antepartum condition or complication",0.955,0.01,88.92,0.984,0.9997897233201581
"Valgus deformity, not elsewhere classified, left knee",0.955,0.011,80.734,0.984,0.9997897233201581
Allergy to peanuts,0.954,0.01,91.408,0.984,0.9997897233201581
Genetic torsion dystonia,0.953,0.008,112.255,0.984,0.9997897233201581
"Rhesus isoimmunization, antepartum condition or complication",0.949,0.006,155.686,0.984,0.9997897233201581
"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",0.948,0.006,161.652,0.984,0.9997897233201581
"Obesity complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",0.947,0.005,183.807,0.984,0.9997897233201581
"Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition",0.935,0.001,707.526,0.984,0.9997897233201581
Other local lupus erythematosus,1.009,0.374,2.721,0.985,0.9997897233201581
Extrapyramidal and movement disorders in diseases classified elsewhere,0.989,0.314,3.113,0.985,0.9997897233201581
Malignant carcinoid tumor of the bronchus and lung,0.985,0.201,4.822,0.985,0.9997897233201581
Observation following alleged rape or seduction,0.958,0.011,84.475,0.985,0.9997897233201581
"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled",1.011,0.321,3.179,0.986,0.9997897233201581
Dissociative stupor,0.96,0.008,109.687,0.986,0.9997897233201581
"Bipolar disorder, current episode mixed, severe, with psychotic features",0.958,0.009,98.312,0.986,0.9997897233201581
"Laceration of ulnar artery at wrist and hand level of right arm, initial encounter",0.953,0.004,238.544,0.986,0.9997897233201581
"Other complications of puerperium, delivered, with mention of postpartum complication",0.922,0.0,9047.855,0.986,0.9997897233201581
Personal history of malignant neoplasm of eye,1.013,0.215,4.769,0.987,0.9997897233201581
Cerebrospinal fluid rhinorrhea,0.987,0.194,5.022,0.987,0.9997897233201581
"Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum condition or complication",0.959,0.007,133.412,0.987,0.9997897233201581
"Other stimulant dependence, uncomplicated",0.958,0.005,170.63,0.987,0.9997897233201581
Pre-existing essential hypertension complicating the puerperium,0.957,0.005,171.644,0.987,0.9997897233201581
Endometriosis of fallopian tube,0.954,0.003,286.401,0.987,0.9997897233201581
"Infections of bladder in pregnancy, second trimester",0.948,0.001,601.831,0.987,0.9997897233201581
